trace,rob,iq,w,ipc
perl,64,64,1,1.00
perl,32,16,4,2.19
gcc,256,256,4,3.94
gcc,32,8,2,1.85
gcc,256,64,4,3.94
gcc,64,64,8,3.96
perl,512,256,1,1.00
gcc,32,128,2,1.88
gcc,256,32,8,6.17
perl,64,16,2,1.87
gcc,32,64,8,2.33
gcc,32,8,1,0.99
gcc,32,256,4,2.38
perl,64,16,1,1.00
perl,512,256,8,7.55
perl,128,16,1,1.00
perl,256,32,8,4.72
gcc,128,32,2,1.99
perl,256,32,1,1.00
gcc,64,256,1,1.00
gcc,64,32,8,3.95
perl,128,32,8,4.70
perl,32,16,2,1.79
perl,128,8,8,1.29
perl,512,16,1,1.00
perl,512,8,2,1.64
gcc,256,8,8,1.33
gcc,64,256,8,3.96
gcc,32,128,8,2.33
perl,512,16,8,2.88
perl,32,8,2,1.64
perl,64,128,8,3.51
gcc,128,32,8,5.89
gcc,256,64,1,1.00
